,modo,tipo,bairro,rua,numero,metros_quadrados,quartos,vagas,banheiros,valor
205,venda,Apartamento,Ondina, Avenida Oceânica,,28.43,1,1,1,270000
206,venda,Sala,Barroquinha, Avenida José Joaquim Seabra,,40.0,0,0,0,110000
207,venda,Apartamento,Barra, Rua Guadalajara,,120.0,3,1,2,650000
208,venda,Conjunto de salas,Paralela, Avenida Luís Viana,,114.0,0,3,2,849000
209,venda,Apart-hotel,Ondina, Avenida Adhemar de Barros,,40.0,1,1,1,380000
210,venda,Apartamento,Vila Rui Barbosa, Rua Domingos Abreu Vieira,63.0,102.0,3,0,2,260000
211,venda,Apartamento,Ondina, Avenida Oceânica,,42.0,1,1,1,270000
212,venda,Apartamento,Monte Serrat, Rua Rio São Francisco,73.0,69.0,3,0,2,280000
213,venda,Casa,Liberdade, Avenida Floresta,,150.0,5,0,2,300000
214,venda,Apartamento,Canela, Rua Padre Feijó,,103.0,3,0,2,309000
215,venda,Apartamento,São Caetano, Rua Mário Lisboa Sampaio,23.0,120.0,3,1,2,315000
216,venda,Casa,Machado, Rua Machado Monteiro,34.0,173.0,3,1,2,399000
217,venda,Loja,Bonfim, Rua Henrique Dias,729.0,170.0,0,0,1,520000
218,venda,Casa,Jardim Placaford, Rua Encontro das Árvores,,619.0,5,1,3,550000
219,venda,Prédio,Caminho de Areia, Avenida Caminho de Areia,,380.0,14,0,14,600000
220,venda,Casa,Armação, Rua Professor Euclides Alípio de Oliveira,,300.0,4,1,3,650000
221,venda,Apartamento,Ondina, Rua Senta Pua,,114.0,2,2,1,670000
222,venda,Prédio,Barroquinha, Avenida José Joaquim Seabra,44.0,380.0,14,0,16,800000
223,venda,Terreno,Matatu, Rua Arlindo Fragoso,,600.0,0,0,0,1000000
224,venda,Casa,Bonfim, Rua Baden Powell,18.0,310.0,4,3,3,1100000
225,venda,Conjunto de salas,Pituba, Avenida Professor Magalhães Neto,1450.0,189.0,0,4,4,1160000
226,venda,Loja,Ribeira, Praça General Osório,103.0,700.0,0,0,4,1800000
227,venda,Casa,Jardim Apipema, Rua Doutor Rubens Chaves,,550.0,2,2,1,2250000
228,venda,Terreno,Caminho das Árvores, Alameda das Algarobas,,206.0,0,3,0,2500000
229,venda,Terreno,Caminho das Árvores, Alameda das Algarobas,,361.25,0,2,0,2500000
230,venda,Prédio,Boca do Rio, Avenida Jorge Amado,,470.0,0,14,47,4000000
231,venda,Sala,Canela, Avenida Reitor Miguel Calmon,1210.0,44.36,0,1,1,140000
232,venda,Sala,Brotas, Avenida Antônio Carlos Magalhães,,27.33,0,1,1,155000
233,venda,Apart-hotel,Caminho das Árvores, Rua Frederico Simões,,27.7,1,1,1,160000
234,venda,Apart-hotel,Caminho das Árvores, Rua Frederico Simões,,27.45,1,1,1,160000
235,venda,Apartamento,Jardim das Margaridas, Rua Joaquim Ferreira,,55.0,2,1,2,175000
236,venda,Apartamento,Itapuã, Rua Luís Eduardo Magalhães,,59.0,2,1,1,180000
